iter	RMSE
0	375822.8707
1	370983.0503
2	366646.3311
3	362143.1052
4	358445.6526
5	354366.5292
6	350700.4063
7	347700.3944
8	344496.279
9	341415.4775
10	338321.579
11	335366.5318
12	332081.4813
13	329369.3417
14	325933.9275
15	323252.1651
16	320704.1794
17	318124.245
18	315731.5394
19	313465.9146
20	312858.0451
21	310688.9398
22	309071.1212
23	306754.8965
24	304554.9762
25	303537.5603
26	301885.3946
27	300520.0334
28	299001.2959
29	298004.8929
30	296078.0758
31	295642.0705
32	294907.3702
33	292401.7206
34	291607.7267
35	289781.8162
36	288453.5428
37	287782.4653
38	286201.9269
39	285633.0686
40	283986.3906
41	283309.0916
42	282761.8347
43	281572.4449
44	280500.643
45	279844.763
46	279341.6673
47	277882.105
48	276948.4277
49	276321.9162
50	274863.073
51	274436.0408
52	272659.8427
53	271997.0293
54	270092.902
55	269536.5757
56	268161.5281
57	267656.4653
58	266341.9074
59	265760.7988
60	264537.9377
61	263378.6892
62	262924.1158
63	261693.9847
64	260617.2902
65	259739.4966
66	259282.2615
67	258843.4705
68	258062.3167
69	257115.0816
70	255953.8185
71	255487.0533
72	254873.1284
73	254222.7652
74	253770.1505
75	253304.8514
76	252076.05
77	251512.1848
78	251155.9826
79	250186.9721
80	249704.8458
81	248717.5547
82	247896.9206
83	247443.4734
84	247083.9945
85	246299.4031
86	245625.8787
87	244651.0308
88	243974.0745
89	243228.7022
90	242023.1326
91	241418.6868
92	240442.5622
93	239858.2564
94	239156.6838
95	238186.9687
96	237385.0537
97	236304.7711
98	235607.1859
99	234880.3095
100	234627.1586
101	234213.933
102	233873.0563
103	233499.2889
104	232871.8138
105	232083.6628
106	231689.6118
107	231084.9749
108	230728.7053
109	230211.6818
110	229460.3103
111	228921.1787
112	228582.9601
113	228229.3653
114	227863.0017
115	227292.0229
116	226897.2267
117	226323.647
118	225574.9825
119	225011.3398
120	224598.3986
121	224327.3931
122	223895.3924
123	223575.2135
124	222793.4564
125	222084.5247
126	221279.5742
127	220582.1407
128	220173.0689
129	219455.7382
130	218929.5879
131	218505.136
132	218262.7735
133	217981.7851
134	217644.765
135	216927.0363
136	216603.9648
137	215922.8459
138	215600.2278
139	215231.6636
140	214613.7311
141	214254.2227
142	213706.9742
143	213112.319
144	212680.8699
145	212328.0145
146	211955.2479
147	211438.5864
148	211011.9134
149	210735.1125
150	210400.4628
151	210084.2426
152	209820.2611
153	209188.6457
154	208884.5565
155	208239.6817
156	207799.0681
157	207400.4582
158	206900.6343
159	206272.3551
160	206042.6592
161	205461.4596
162	204792.2063
163	204054.5184
164	203747.7219
165	203413.7161
166	202752.5965
167	202461.4518
168	202107.8237
169	201801.3233
170	201467.6475
171	201111.2733
172	200322.2787
173	199902.8932
174	199344.9045
175	198909.5586
176	198286.9206
177	198019.2662
178	197402.1419
179	196864.0124
180	196153.0226
181	195810.3193
182	195452.1021
183	195197.0335
184	194729.9259
185	194496.9069
186	193901.0788
187	193571.3268
188	193300.0341
189	192889.0908
190	192577.2197
191	192295.1322
192	192032.1774
193	191141.9755
194	190618.0719
195	190368.3306
196	189783.8479
197	188920.9444
198	188627.0873
199	188363.7881
200	188085.3607
201	187683.7169
202	187430.2932
203	187150.9427
204	186913.3683
205	186335.815
206	186066.62
207	185838.825
208	185540.0378
209	184973.577
210	184747.5167
211	184378.1419
212	183472.259
213	183244.9765
214	182747.202
215	182529.7955
216	181976.84
217	181226.5787
218	181009.0602
219	180754.6995
220	180034.9891
221	179827.0733
222	179334.9783
223	179125.3448
224	178721.0201
225	178516.4757
226	178317.3136
227	177832.3169
228	177578.6069
229	177379.0219
230	176898.3499
231	176536.6798
232	176190.3267
233	175796.9733
234	175602.1101
235	175408.9163
236	174777.0151
237	174347.178
238	173888.3359
239	173657.2451
240	173077.1789
241	172707.7548
242	172522.0513
243	172110.6149
244	171924.7043
245	171701.9366
246	171522.2282
247	171345.3985
248	171169.961
249	170960.4721
250	170628.0375
251	170439.9313
252	170066.2872
253	169473.0678
254	169309.9686
255	168745.5634
256	168576.0405
257	168394.7126
258	168232.3912
259	167883.9997
260	167704.9206
261	167528.3173
262	167000.3482
263	166678.7455
264	166491.6062
265	166206.0517
266	166048.4044
267	165652.0013
268	165496.2499
269	165341.7263
270	165190.3158
271	164804.8083
272	164482.5935
273	164303.5411
274	163976.1669
275	163699.5649
276	163428.3342
277	163277.2533
278	162698.3478
279	162550.0492
280	162262.1708
281	162114.7126
282	161777.9463
283	161487.2275
284	161342.2951
285	160937.9496
286	160796.4867
287	160358.8526
288	160170.1269
289	160029.9009
290	159889.4495
291	159642.7262
292	159232.7448
293	159095.5941
294	158799.8206
295	158453.495
296	158318.076
297	158182.1727
298	158049.877
299	157918.0114
300	157680.1103
301	157550.0103
302	157164.331
303	157033.4505
304	156881.8831
305	156755.2952
306	156362.3918
307	156237.178
308	155985.1084
309	155837.1362
310	155713.6617
311	155568.9723
312	155335.1995
313	155217.8281
314	155095.209
315	154973.3922
316	154857.6554
317	154586.7761
318	154379.5882
319	154131.3813
320	153788.6889
321	153409.8817
322	153295.8439
323	153171.7925
324	153027.0668
325	152911.5271
326	152797.1764
327	152684.2615
328	152455.4823
329	152333.0705
330	152224.7869
331	151890.405
332	151739.8199
333	151592.9732
334	151325.241
335	151210.3482
336	151014.3644
337	150686.3569
338	150572.8224
339	150222.9097
340	149944.8805
341	149828.1044
342	149687.9251
343	149584.0289
344	149469.1591
345	149363.2632
346	149172.9122
347	149073.2431
348	148910.0875
349	148805.9525
350	148702.8261
351	148603.9324
352	148508.0992
353	148219.4993
354	147986.737
355	147886.0742
356	147727.3636
357	147509.8987
358	147331.9018
359	147235.2707
360	147136.2849
361	146897.0791
362	146641.3847
363	146546.6402
364	146447.4622
365	146351.1463
366	146197.605
367	146102.3157
368	146008.0503
369	145787.746
370	145694.3134
371	145544.5724
372	145359.9304
373	145243.6965
374	145081.9014
375	144989.227
376	144808.939
377	144499.6541
378	144359.3957
379	144191.2354
380	143930.8839
381	143838.6403
382	143745.302
383	143540.7825
384	143293.5045
385	143203.7882
386	142946.2015
387	142847.3409
388	142692.283
389	142604.1125
390	142514.3264
391	142363.1949
392	142155.0022
393	142032.2873
394	141741.3229
395	141599.6229
396	141510.4704
397	141422.8752
398	141279.0804
399	141130.8429
400	140859.858
401	140671.8972
402	140562.7362
403	140475.7184
404	140391.1677
405	140307.7753
406	140027.5567
407	139942.9991
408	139861.0355
409	139754.8334
410	139609.4123
411	139528.0841
412	139445.7794
413	139273.3225
414	139168.2094
415	139008.6397
416	138905.1342
417	138661.8967
418	138581.8105
419	138482.5773
420	138365.2795
421	138229.1804
422	138141.5638
423	138049.3335
424	137953.1015
425	137738.3176
426	137654.7293
427	137503.7354
428	137424.1077
429	137347.068
430	137270.839
431	137179.6036
432	136992.0977
433	136876.9894
434	136785.5964
435	136705.3252
436	136619.2295
437	136540.8009
438	136445.4792
439	136367.0101
440	136280.451
441	136079.8921
442	136001.9063
443	135886.6234
444	135745.6815
445	135660.5093
446	135576.8362
447	135496.4452
448	135416.0631
449	135320.31
450	135243.9643
451	135167.5718
452	135090.7888
453	135000.8507
454	134872.8024
455	134777.8154
456	134581.1139
457	134482.436
458	134359.987
459	134288.8351
460	134219.8537
461	134054.3828
462	133985.8554
463	133884.5681
464	133811.9973
465	133664.0607
466	133419.2159
467	133352.0165
468	133159.9177
469	133039.8254
470	132968.7113
471	132881.129
472	132813.7864
473	132742.6795
474	132591.9552
475	132471.6378
476	132362.3878
477	132296.3585
478	132231.1493
479	132163.7918
480	131933.5479
481	131868.2479
482	131804.901
483	131742.0301
484	131680.0771
485	131506.1095
486	131428.6062
487	131352.8606
488	131219.1605
489	131095.9329
490	130895.3734
491	130774.0334
492	130682.511
493	130617.9343
494	130441.9657
495	130377.0807
496	130209.0642
497	130148.8252
498	130023.9347
499	129941.9135
500	129732.9343
501	129669.5387
502	129505.07
503	129442.418
504	129382.4051
505	129272.1475
506	129138.9542
507	129076.0913
508	128970.6128
509	128817.3522
510	128627.4821
511	128564.8275
512	128503.911
513	128358.3884
514	128268.7035
515	128163.2515
516	128076.6026
517	127857.7304
518	127797.3487
519	127735.8037
520	127625.4814
521	127564.7295
522	127491.8151
523	127348.7986
524	127289.0222
525	127131.5605
526	126925.7881
527	126867.5676
528	126796.9413
529	126702.6393
530	126643.7686
531	126433.8952
532	126373.6863
533	126242.4912
534	126172.1395
535	126073.4662
536	126015.2564
537	125956.3082
538	125899.2506
