iter	Passed	Remaining
0	152	152031
1	153	76797
2	156	52077
3	160	39842
4	163	32468
5	167	27742
6	173	24675
7	176	21877
8	179	19724
9	181	17957
10	183	16504
11	186	15325
12	188	14329
13	190	13448
14	193	12690
15	195	12024
16	197	11445
17	200	10924
18	202	10464
19	204	10040
20	207	9670
21	209	9327
22	212	9008
23	214	8717
24	216	8452
25	219	8205
26	221	7973
27	223	7758
28	225	7563
29	228	7382
30	230	7212
31	233	7053
32	235	6903
33	237	6756
34	240	6619
35	242	6488
36	244	6370
37	247	6255
38	249	6142
39	251	6035
40	253	5934
41	256	5840
42	258	5750
43	260	5661
44	262	5578
45	265	5502
46	268	5438
47	271	5376
48	275	5342
49	278	5285
50	280	5228
51	283	5177
52	286	5115
53	288	5053
54	290	4998
55	293	4944
56	295	4892
57	298	4841
58	300	4789
59	302	4745
60	305	4697
61	307	4650
62	309	4603
63	312	4563
64	314	4523
65	316	4475
66	318	4436
67	321	4399
68	323	4362
69	325	4324
70	327	4290
71	330	4259
72	332	4225
73	334	4191
74	337	4159
75	339	4126
76	341	4099
77	344	4070
78	346	4039
79	348	4010
80	351	3983
81	353	3956
82	355	3930
83	358	3905
84	360	3884
85	363	3859
86	365	3834
87	367	3810
88	369	3787
89	372	3764
90	374	3740
91	376	3718
92	379	3697
93	381	3675
94	383	3653
95	385	3633
96	388	3613
97	390	3593
98	392	3573
99	394	3554
100	397	3536
101	399	3519
102	402	3507
103	405	3495
104	408	3480
105	410	3463
106	412	3445
107	415	3427
108	417	3413
109	419	3397
110	422	3380
111	424	3364
112	426	3349
113	429	3334
114	431	3319
115	434	3307
116	436	3294
117	438	3279
118	440	3260
119	442	3246
120	445	3232
121	447	3219
122	449	3205
123	451	3192
124	454	3180
125	456	3168
126	459	3155
127	461	3144
128	464	3133
129	466	3121
130	468	3108
131	470	3096
132	473	3085
133	476	3079
134	478	3069
135	481	3057
136	483	3045
137	485	3034
138	488	3023
139	490	3013
140	493	3004
141	495	2994
142	497	2983
143	500	2972
144	502	2961
145	504	2951
146	507	2942
147	509	2931
148	511	2920
149	512	2906
150	515	2896
151	517	2886
152	519	2876
153	522	2868
154	524	2858
155	526	2849
156	528	2839
157	531	2831
158	533	2821
159	536	2815
160	538	2806
161	541	2798
162	543	2789
163	545	2780
164	547	2772
165	550	2764
166	552	2756
167	554	2747
168	557	2739
169	559	2731
170	561	2722
171	564	2715
172	566	2709
173	570	2707
174	572	2701
175	575	2694
176	578	2688
177	580	2680
178	583	2674
179	585	2668
180	588	2662
181	590	2655
182	593	2648
183	595	2642
184	598	2636
185	601	2630
186	603	2624
187	606	2618
188	608	2612
189	611	2606
190	613	2599
191	616	2593
192	618	2587
193	621	2581
194	624	2576
195	626	2571
196	629	2565
197	631	2559
198	634	2553
199	636	2547
200	639	2542
201	642	2536
202	644	2531
203	647	2525
204	649	2519
205	652	2513
206	654	2508
207	657	2502
208	659	2496
209	662	2491
210	665	2487
211	667	2481
212	670	2475
213	672	2470
214	675	2464
215	677	2459
216	680	2454
217	682	2449
218	685	2444
219	687	2439
220	690	2433
221	692	2428
222	695	2423
223	697	2417
224	700	2412
225	703	2407
226	705	2403
227	708	2398
228	710	2392
229	713	2387
230	715	2383
231	718	2377
232	720	2372
233	723	2368
234	725	2363
235	728	2358
236	731	2353
237	733	2348
238	735	2343
239	738	2338
240	741	2333
241	743	2329
242	746	2324
243	748	2318
244	751	2314
245	753	2309
246	756	2304
247	758	2300
248	761	2297
249	764	2292
250	766	2287
251	769	2282
252	771	2278
253	774	2274
254	777	2270
255	780	2267
256	782	2263
257	785	2258
258	787	2253
259	790	2249
260	793	2245
261	795	2240
262	798	2237
263	800	2232
264	803	2228
265	806	2224
266	808	2219
267	811	2215
268	813	2210
269	816	2206
270	818	2202
271	821	2199
272	824	2194
273	826	2190
274	829	2185
275	831	2181
276	834	2177
277	837	2174
278	839	2169
279	842	2165
280	844	2160
281	847	2156
282	849	2152
283	852	2148
284	854	2144
285	857	2140
286	859	2136
287	862	2132
288	864	2128
289	867	2123
290	869	2119
291	872	2115
292	875	2111
293	877	2107
294	879	2102
295	882	2098
296	885	2095
297	887	2091
298	890	2086
299	892	2082
300	895	2079
301	897	2075
302	900	2070
303	902	2066
304	905	2062
305	907	2058
306	911	2058
307	914	2055
308	917	2050
309	919	2046
310	922	2042
311	924	2039
312	927	2035
313	929	2030
314	932	2027
315	934	2023
316	937	2019
317	939	2015
318	942	2012
319	945	2008
320	947	2004
321	950	2000
322	953	1997
323	955	1994
324	958	1990
325	960	1986
326	963	1982
327	965	1978
328	968	1974
329	970	1971
330	973	1967
331	976	1963
332	978	1959
333	981	1956
334	983	1952
335	986	1948
336	988	1944
337	991	1941
338	993	1937
339	996	1933
340	998	1930
341	1001	1926
342	1003	1922
343	1006	1918
344	1008	1915
345	1011	1911
346	1014	1908
347	1016	1904
348	1019	1901
349	1021	1897
350	1024	1893
351	1026	1889
352	1029	1886
353	1031	1883
354	1034	1879
355	1036	1875
356	1039	1872
357	1042	1868
358	1044	1865
359	1047	1861
360	1049	1857
361	1051	1853
362	1054	1850
363	1056	1846
364	1059	1842
365	1061	1839
366	1064	1835
367	1067	1832
368	1069	1828
369	1071	1824
370	1074	1821
371	1077	1818
372	1079	1814
373	1082	1811
374	1084	1807
375	1087	1804
376	1089	1800
377	1092	1797
378	1094	1793
379	1097	1790
380	1099	1786
381	1101	1782
382	1104	1779
383	1107	1776
384	1109	1772
385	1112	1768
386	1114	1765
387	1117	1762
388	1119	1758
389	1122	1755
390	1124	1751
391	1127	1748
392	1129	1744
393	1132	1741
394	1134	1738
395	1137	1734
396	1139	1731
397	1142	1728
398	1145	1724
399	1147	1721
400	1150	1717
401	1152	1714
402	1154	1710
403	1157	1707
404	1159	1703
405	1163	1701
406	1165	1698
407	1168	1695
408	1171	1692
409	1173	1688
410	1176	1685
411	1178	1681
412	1181	1678
413	1183	1675
414	1185	1671
415	1188	1668
416	1191	1665
417	1193	1661
418	1196	1658
419	1198	1655
420	1201	1652
421	1203	1648
422	1206	1645
423	1208	1642
424	1211	1638
425	1213	1635
426	1216	1632
427	1219	1629
428	1221	1626
429	1224	1622
430	1226	1619
431	1229	1616
432	1231	1613
433	1234	1609
434	1237	1606
435	1239	1603
436	1242	1600
437	1244	1597
438	1247	1593
439	1249	1590
440	1252	1587
441	1254	1583
442	1257	1580
443	1259	1577
444	1262	1574
445	1264	1570
446	1267	1567
447	1269	1564
448	1272	1560
449	1274	1557
450	1277	1554
451	1279	1551
452	1281	1548
453	1284	1544
454	1287	1541
455	1289	1538
456	1291	1535
457	1294	1531
458	1297	1529
459	1300	1526
460	1302	1523
461	1305	1520
462	1307	1516
463	1310	1513
464	1312	1510
465	1315	1507
466	1317	1504
467	1320	1501
468	1322	1497
469	1325	1494
470	1328	1491
471	1330	1488
472	1333	1485
473	1336	1482
474	1338	1479
475	1341	1476
476	1343	1473
477	1346	1470
478	1348	1467
479	1351	1463
480	1353	1460
481	1356	1457
482	1358	1454
483	1361	1451
484	1364	1448
485	1366	1445
486	1369	1442
487	1371	1438
488	1374	1436
489	1376	1433
490	1379	1429
491	1381	1426
492	1384	1423
493	1386	1420
494	1389	1417
495	1392	1414
496	1394	1411
497	1396	1408
498	1399	1405
499	1402	1402
500	1404	1399
501	1407	1396
502	1409	1392
503	1412	1390
504	1415	1387
505	1417	1384
506	1420	1380
507	1422	1377
508	1425	1374
509	1427	1371
510	1430	1368
511	1433	1365
512	1435	1362
513	1438	1359
514	1440	1356
515	1443	1353
516	1445	1350
517	1448	1347
518	1451	1344
519	1453	1341
520	1456	1338
521	1458	1335
522	1461	1332
523	1463	1329
524	1466	1326
525	1468	1323
526	1471	1320
527	1473	1317
528	1476	1314
529	1479	1311
530	1481	1308
531	1484	1305
532	1486	1302
533	1489	1299
534	1491	1296
535	1494	1293
536	1496	1290
537	1499	1287
538	1501	1284
539	1504	1281
540	1507	1278
541	1509	1275
542	1512	1272
543	1514	1269
544	1517	1266
545	1519	1263
546	1522	1260
547	1525	1258
548	1527	1255
549	1530	1252
550	1532	1249
551	1535	1246
552	1537	1243
553	1540	1240
554	1542	1236
555	1545	1234
556	1548	1231
557	1550	1228
558	1553	1225
559	1556	1222
560	1559	1220
561	1561	1216
562	1564	1214
563	1566	1211
564	1569	1208
565	1571	1205
566	1574	1202
567	1576	1199
568	1579	1196
569	1581	1193
570	1584	1190
571	1587	1187
572	1589	1184
573	1592	1181
574	1594	1178
575	1597	1175
576	1599	1172
577	1602	1170
578	1605	1167
579	1607	1164
580	1610	1161
581	1612	1158
582	1615	1155
583	1617	1152
584	1620	1149
585	1623	1146
586	1625	1143
587	1628	1140
588	1630	1138
589	1633	1135
590	1636	1132
591	1638	1129
592	1641	1126
593	1643	1123
594	1646	1120
595	1649	1117
596	1651	1114
597	1654	1111
598	1656	1109
599	1659	1106
600	1661	1103
601	1664	1100
602	1666	1097
603	1669	1094
604	1671	1091
605	1674	1088
606	1676	1085
607	1679	1082
608	1682	1079
609	1684	1076
610	1687	1074
611	1689	1071
612	1692	1068
613	1694	1065
614	1697	1062
615	1700	1059
616	1702	1056
617	1705	1054
618	1707	1051
619	1710	1048
620	1712	1045
621	1715	1042
622	1718	1039
623	1720	1036
624	1723	1033
625	1725	1031
626	1728	1028
627	1730	1025
628	1733	1022
629	1735	1019
630	1738	1016
631	1740	1013
632	1743	1010
633	1746	1008
634	1749	1005
635	1751	1002
636	1754	999
637	1757	997
638	1759	994
639	1762	991
640	1765	988
641	1767	985
642	1770	982
643	1772	979
644	1775	977
645	1777	974
646	1780	971
647	1782	968
648	1785	965
649	1788	962
650	1790	959
651	1793	957
652	1795	954
653	1798	951
654	1800	948
655	1803	945
656	1805	942
657	1808	939
658	1810	936
659	1813	934
660	1815	931
661	1818	928
662	1820	925
663	1823	922
664	1825	919
665	1828	916
666	1831	914
667	1833	911
668	1836	908
669	1839	905
670	1842	903
671	1844	900
672	1847	897
673	1849	894
674	1852	891
675	1855	889
676	1857	886
677	1860	883
678	1862	880
679	1865	877
680	1867	874
681	1870	872
682	1873	869
683	1875	866
684	1878	863
685	1880	860
686	1883	857
687	1885	855
688	1888	852
689	1890	849
690	1893	846
691	1895	843
692	1898	840
693	1900	838
694	1903	835
695	1906	832
696	1909	829
697	1911	827
