iter	RMSE
0	391399.7539
1	386866.4726
2	382745.9705
3	378833.0771
4	374981.6312
5	371468.3824
6	367338.9328
7	363815.6698
8	360084.9531
9	356471.9114
10	353671.9466
11	350270.7227
12	346866.2919
13	343941.417
14	341551.4474
15	339308.5502
16	337312.0744
17	335494.2438
18	333065.1641
19	331232.2196
20	330437.3285
21	327650.8997
22	325430.8269
23	323152.6262
24	321239.482
25	319371.597
26	317008.4746
27	315293.4936
28	314072.9721
29	312405.6527
30	311346.2522
31	309510.2349
32	308698.0992
33	307507.2932
34	306330.2875
35	304274.751
36	302669.5989
37	301149.913
38	299915.0436
39	298319.4886
40	296732.2109
41	295751.9889
42	295008.2917
43	294190.0007
44	292840.3046
45	291362.2452
46	290014.3145
47	289036.5881
48	288195.5115
49	287317.1765
50	286617.7301
51	286024.608
52	284632.5813
53	283328.5722
54	281819.4704
55	280904.3301
56	279432.2288
57	278212.6777
58	277177.6407
59	276200.5259
60	275044.9213
61	274334.1858
62	272827.7122
63	271373.6237
64	270037.9468
65	269714.735
66	269027.4931
67	268470.3645
68	268043.5893
69	267584.1078
70	266097.6606
71	264767.4432
72	264217.757
73	263045.6388
74	262016.4884
75	261566.3629
76	260431.0853
77	259946.8199
78	258843.4943
79	258367.5749
80	257452.6205
81	256262.8052
82	255818.7152
83	255307.8542
84	254339.965
85	252869.7425
86	252192.2861
87	251138.9795
88	250131.8034
89	249563.3723
90	248803.1866
91	248094.5836
92	247695.8046
93	246997.5181
94	246537.4409
95	245426.1291
96	244475.4544
97	243722.8783
98	242872.8887
99	242416.1251
100	241613.9546
101	241171.2717
102	240454.0283
103	239741.8496
104	238892.7685
105	238418.2839
106	238003.3442
107	237783.3171
108	237338.0436
109	236431.4929
110	235756.1548
111	235190.8788
112	234599.5385
113	233619.8781
114	233270.0133
115	232817.3636
116	232381.2585
117	231533.9257
118	230901.8988
119	230635.5656
120	229928.0345
121	229547.5579
122	229198.7983
123	228354.9642
124	227535.0784
125	227049.4414
126	226655.2615
127	226196.5643
128	225945.9953
129	225444.5862
130	225174.4704
131	224690.1016
132	223964.4836
133	223162.4292
134	222754.7037
135	221992.3941
136	221558.792
137	220907.5613
138	220353.494
139	219614.1445
140	218898.6176
141	218575.1122
142	217726.0161
143	217248.6553
144	216292.8895
145	216001.9677
146	215575.8198
147	214897.2861
148	214572.3675
149	214108.0234
150	213397.3549
151	213248.1538
152	212802.7475
153	212554.2559
154	212265.12
155	211241.8083
156	210956.4515
157	210722.6337
158	210189.9084
159	209511.9171
160	209233.7864
161	208520.5231
162	208266.2221
163	207721.5778
164	207194.6638
165	206888.9168
166	206632.9314
167	206053.3229
168	205713.9793
169	205386.8105
170	205089.8742
171	204576.1409
172	204177.1701
173	203261.0434
174	202624.9678
175	201976.4394
176	201594.8279
177	201307.4513
178	200949.6278
179	200511.3438
180	200210.1156
181	199480.5111
182	199175.3545
183	198726.6551
184	198103.2712
185	197284.7131
186	197068.877
187	196532.0627
188	195908.2956
189	195613.6451
190	194995.5206
191	194610.0569
192	194319.3592
193	193529.624
194	193281.1255
195	193000.2195
196	192681.1558
197	192065.2551
198	191554.8162
199	191281.364
200	190772.5897
201	190467.6821
202	190180.2624
203	189891.7633
204	189434.3843
205	188878.2402
206	188587.4305
207	188275.1916
208	187774.9455
209	187519.1419
210	186651.8405
211	186171.9635
212	185924.8451
213	185648.6282
214	185413.9661
215	185175.492
216	184720.3289
217	184463.4343
218	184232.1257
219	183434.7413
220	182732.0033
221	182505.4311
222	182282.51
223	182055.9672
224	181555.8237
225	180758.5747
226	180489.9084
227	180269.525
228	179796.8477
229	179058.1401
230	178841.3638
231	178423.8656
232	178055.2912
233	177770.2389
234	177305.3459
235	176887.1666
236	176410.0837
237	176040.565
238	175693.0397
239	175481.8155
240	175066.3159
241	174856.2202
242	174650.566
243	174058.551
244	173858.8433
245	173523.5742
246	173270.1264
247	173071.0125
248	172876.4124
249	172521.3149
250	172136.3559
251	171806.9673
252	171613.5033
253	171422.2912
254	171187.5118
255	171002.1853
256	170344.1842
257	169764.3098
258	169417.785
259	169234.5928
260	168893.4055
261	168714.4401
262	168158.3136
263	167980.282
264	167807.3182
265	167633.9643
266	167463.743
267	167296.1918
268	167006.6528
269	166841.8073
270	166678.3408
271	166383.293
272	166222.5004
273	165946.5896
274	165604.7646
275	165445.0811
276	165288.0021
277	165133.1251
278	164953.2248
279	164603.2033
280	164450.2008
281	163893.5251
282	163748.0958
283	163599.5368
284	163346.2042
285	163047.438
286	162735.6469
287	162181.2823
288	161688.7378
289	161539.764
290	161374.5258
291	161121.7509
292	160982.3678
293	160663.1114
294	160299.654
295	160156.5616
296	159669.3199
297	159246.4717
298	159106.5046
299	158850.4895
300	158712.0111
301	158436.0671
302	158026.3399
