iter	Passed	Remaining
0	136	136848
1	142	71312
2	149	49778
3	154	38459
4	158	31478
5	161	26750
6	164	23332
7	167	20737
8	169	18692
9	172	17042
10	174	15714
11	177	14601
12	179	13649
13	182	12839
14	184	12147
15	187	11530
16	189	10982
17	192	10497
18	194	10062
19	197	9667
20	199	9310
21	202	8992
22	204	8700
23	207	8430
24	210	8192
25	212	7961
26	215	7748
27	217	7549
28	219	7365
29	222	7201
30	225	7045
31	227	6889
32	230	6741
33	232	6606
34	234	6475
35	237	6349
36	239	6243
37	242	6137
38	244	6031
39	247	5930
40	249	5837
41	251	5744
42	254	5659
43	256	5580
44	259	5505
45	261	5428
46	264	5354
47	266	5285
48	268	5220
49	271	5159
50	273	5095
51	276	5033
52	278	4982
53	281	4926
54	283	4872
55	285	4818
56	288	4773
57	290	4725
58	293	4679
59	295	4632
60	298	4590
61	300	4545
62	302	4506
63	305	4473
64	308	4433
65	310	4394
66	311	4342
67	314	4305
68	317	4278
69	320	4251
70	322	4217
71	324	4186
72	327	4156
73	329	4124
74	331	4093
75	334	4068
76	337	4040
77	339	4011
78	341	3982
79	344	3956
80	346	3930
81	348	3903
82	350	3868
83	352	3843
84	355	3826
85	357	3802
86	360	3779
87	362	3757
88	364	3734
89	367	3715
90	369	3693
91	372	3672
92	374	3653
93	376	3632
94	379	3612
95	382	3599
96	385	3592
97	389	3581
98	392	3568
99	394	3551
100	396	3533
101	399	3518
102	402	3501
103	404	3483
104	406	3466
105	408	3449
106	411	3435
107	412	3410
108	415	3396
109	417	3380
110	420	3366
111	422	3351
112	425	3337
113	427	3322
114	430	3311
115	432	3296
116	434	3282
117	437	3268
118	439	3254
119	442	3241
120	444	3228
121	446	3216
122	449	3204
123	451	3192
124	454	3179
125	456	3166
126	459	3155
127	461	3143
128	463	3131
129	466	3119
130	468	3109
131	471	3097
132	473	3085
133	475	3073
134	478	3065
135	480	3053
136	483	3043
137	485	3032
138	488	3023
139	490	3013
140	492	3002
141	494	2989
142	497	2980
143	499	2970
144	502	2960
145	504	2950
146	506	2940
147	509	2932
148	511	2923
149	514	2913
150	516	2903
151	517	2888
152	520	2879
153	522	2871
154	525	2864
155	527	2856
156	530	2847
157	532	2838
158	535	2830
159	537	2821
160	539	2811
161	542	2804
162	544	2798
163	548	2793
164	551	2789
165	555	2788
166	557	2781
167	559	2772
168	562	2764
169	564	2757
170	567	2749
171	569	2740
172	571	2732
173	574	2726
174	576	2718
175	579	2711
